,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,median,median,median,median,median,median,median,median,median,median,median,median,median,std,std,std,std,std,std,std,std,std,std,std,std,std,var,var,var,var,var,var,var,var,var,var,var,var,var,count
,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,
ClusterID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0.8309903846153847,0.9292115384615385,15.420057692307692,15.711913461538462,1010.1803942307693,1268.1440480769231,0.7367839368201923,-0.00419752800576923,0.7579809532307693,0.6462264697153847,0.8490999393951923,0.7310567292173077,0.7181697646846155,0.0,0.0,0.329,0.329,250.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4.04,150.0,150.0,3500.0,3500.0,0.9612811595,0.0205058026,0.9956648045,0.9944065393,0.9676562591,0.9801213859,0.9939002918,0.846,1.0,8.27,8.9345,1017.5,1236.5,0.7654503328,0.00471719405,0.7824222964,0.5985996883,0.91247183745,0.7873185138500001,0.8215420201,0.5783262171982865,0.7708308929308941,28.85597945230726,28.87314516519291,374.6381837158502,412.0216638954703,0.20970790762335284,0.09868487020247374,0.24416292616202673,0.27195856831849813,0.2353544169870914,0.23118689380041524,0.30928083816254465,0.33446121349887964,0.5941802654966396,832.6675501519787,833.6585117303026,140353.7686979111,169761.8515191919,0.043977406519764686,0.00973870360687909,0.05961553451200331,0.07396146288184723,0.055391701595333694,0.05344737986508447,0.09565463685452612,104
0,0.0,100.0,30.398,30.398,1200.0,2000.0,0.8145506753999999,0.0008500023666666666,0.9834384967333333,0.9641777260333333,0.9397233423333334,0.7127315854666666,0.6436164509333334,0.0,100.0,30.398,30.398,1200.0,2000.0,0.7831513531,0.0006371397,0.9563568259,0.9372666175,0.9231341885,0.6943560823,0.5878114785,0.0,100.0,30.398,30.398,1200.0,2000.0,0.8377878709,0.0009680725,0.9970906919,0.9803136613,0.9491755358,0.737311144,0.6825757126,0.0,100.0,30.398,30.398,1200.0,2000.0,0.8227128022,0.0009447949,0.9968679724,0.9749528993,0.9468603027,0.7065275301,0.6604621617,0.0,0.0,0.0,0.0,0.0,0.0,0.028217946501329437,0.0001847115259283333,0.023453679292121405,0.02345933213403132,0.01441319169220799,0.02213937800971835,0.049577197324632415,0.0,0.0,0.0,0.0,0.0,0.0,0.0007962525047518902,3.411834781077334e-08,0.0005500750723376845,0.0005503402641747944,0.00020774009475633338,0.0004901520586572004,0.0024578984945655396,3
1,0.7333333333333334,3.2566666666666664,1.6776666666666664,1.6776666666666664,363.0,363.0,0.8699397147666666,0.004728055133333333,0.8856715823666667,0.8089143987833333,0.8943011104999999,0.7400905662166667,0.9453303153166667,0.5,1.5,1.0,1.0,353.0,353.0,0.6852585507,0.0021033422,0.7418497499,0.6165248299,0.7543053175,0.372681627,0.8130948899,0.8,4.04,5.066,5.066,373.0,373.0,0.9428754241,0.007069728,0.9469477129,0.9383817292,0.9394982753,0.861553472,0.9854356776,0.8,3.5999999999999996,1.0,1.0,363.0,363.0,0.8978002630499999,0.00446475975,0.9026818945499999,0.8202955153,0.92040798585,0.82541993725,0.9687693230000001,0.12110601416389968,0.9749393143507274,1.6599375490260668,1.6599375490260668,6.324555320336759,6.324555320336759,0.09280402893184926,0.0019524425556807408,0.07293883324657535,0.10725661780286645,0.07012305891518122,0.18597266174247382,0.06530532427482538,0.01466666666666667,0.9505066666666666,2.7553926666666664,2.7553926666666664,40.0,40.0,0.008612587785983516,3.8120319332331426e-06,0.0053200733953717265,0.01150398206251017,0.004917243391621978,0.03458583091558058,0.004264785378640097,6
2,0.0,100.0,45.596,45.596,1200.0,2000.0,0.8001963950333333,0.006620689533333334,0.8625722437666666,0.9274529318333333,0.8547127356333334,0.7290154796666667,0.7137124896999999,0.0,100.0,45.596,45.596,1200.0,2000.0,0.6353456227,0.0012522784,0.6013108194,0.8075347828,0.7073499865,0.5126257609,0.5916261933,0.0,100.0,45.596,45.596,1200.0,2000.0,0.8921690567,0.0121578455,0.9946564858,0.9907752951,0.9393515323,0.8450554508,0.8137536107,0.0,100.0,45.596,45.596,1200.0,2000.0,0.8730745057,0.0064519447,0.9917494261,0.9840487176,0.9174366881,0.8293652273,0.7357576651,0.0,0.0,0.0,0.0,0.0,0.0,0.14308383320153706,0.005454741474830235,0.2262636993545351,0.10390660980852678,0.12808942178485253,0.18756313222301393,0.11269267815173724,0.0,0.0,0.0,0.0,0.0,0.0,0.02047298332364528,2.9754204557233125e-05,0.051195261645599455,0.010796583561901434,0.016406899973177853,0.03517992856930781,0.012699639709011036,3
3,0.0,100.0,50.66299999999999,50.66299999999999,1200.0,2000.0,0.7256124814000001,0.0013353187666666668,0.9423645497333334,0.9711121877666665,0.8926054168333333,0.7677936054,0.3898995644666667,0.0,100.0,50.663,50.663,1200.0,2000.0,0.5970137135,0.0003933617,0.8574091092,0.9482808863,0.8580012932,0.5972794787,0.0,0.0,100.0,50.663,50.663,1200.0,2000.0,0.8510022614,0.0018281739,0.9968261552,0.9869381865,0.9503518621,0.9183909926,0.69209351,0.0,100.0,50.663,50.663,1200.0,2000.0,0.7288214693,0.0017844207,0.9728583848,0.9781174905,0.8694630952,0.7877103449,0.4776051834,0.0,0.0,0.0,0.0,0.0,0.0,0.1270246779905165,0.0008160520340088697,0.07454316643158056,0.020258391211482367,0.05033718488328379,0.1614795915093317,0.3542845795972347,0.0,0.0,0.0,0.0,0.0,0.0,0.016135268818594405,6.659409222100134e-07,0.005556683661646319,0.000410402414477466,0.0025338321819738945,0.026075658474020626,0.12551756334038933,3
4,1.6965999999999997,1.6965999999999997,0.651,0.6638,773.0,773.0,0.56024334548,0.01036415818,0.37991851278000005,0.15264208338000002,0.8630580062,0.65035805676,0.65774170686,0.277,0.277,0.635,0.66,773.0,773.0,0.3362352235,0.006770027,0.0452627059,0.0024608071,0.7999051275,0.4187029407,0.2882590103,2.598,2.598,0.66,0.665,773.0,773.0,0.6971752075,0.0158694535,0.5572516544,0.2803453455,0.9200977003,0.8754880855,0.7749342297,2.054,2.054,0.653,0.665,773.0,773.0,0.6073567143,0.0103267754,0.4215909386,0.1678379348,0.8488897037,0.6671257404,0.7354242842,1.0116137108600298,1.0116137108600298,0.009407443861113392,0.0021679483388679127,0.0,0.0,0.13570996636468774,0.0034189210330620476,0.1952217033625492,0.10116546112272709,0.05143514095243335,0.16589411322584605,0.20735258857358937,1.0233622999999998,1.0233622999999998,8.850000000000005e-05,4.700000000000141e-06,0.0,0.0,0.018417194970704674,1.1689021030314059e-05,0.03811151346377516,0.010234450524174007,0.0026455737247966862,0.027520856802989824,0.042995095988168225,5
5,0.545,3.47875,2.0229999999999997,2.0229999999999997,443.5,443.5,0.921885505125,0.003527421975,0.9198212575,0.8711524739250001,0.943738228125,0.850518451575,0.97304130975,0.39,1.375,1.0,1.0,443.0,443.0,0.8722129668,0.001845823,0.8497972934,0.7348282382,0.9192943051,0.8131738929,0.9580920354,0.8,5.0,5.066,5.066,445.0,445.0,0.9468706304,0.0053369165,0.9518665079,0.9322604448,0.9570836111,0.8780274715,0.985491884,0.495,3.77,1.013,1.013,443.0,443.0,0.93422921165,0.0034634742000000003,0.93881061435,0.90876060635,0.9492874981499999,0.8554362209499999,0.9742906598000001,0.17710637105046978,1.5324075556674428,2.028675922862003,2.028675922862003,1.0000000000000047,1.0000000000000047,0.03470066873883994,0.0016288931933495442,0.04811512796462484,0.09316441381214782,0.01720151104624333,0.027091874297051444,0.013587980004755121,0.03136666666666668,2.3482729166666667,4.115526,4.115526,1.0000000000000095,1.0000000000000095,0.0012041364109227034,2.653293035340476e-06,0.0023150655390522233,0.00867960800096112,0.0002958919822740313,0.0007339696529272367,0.000184633200609625,4
6,0.7866666666666667,3.59,1.0,1.0,296.0,296.0,0.8819575024333334,0.004535586433333333,0.8593919374666666,0.7825618396333334,0.9124128598333333,0.8114434707,0.9629674535,0.75,2.69,1.0,1.0,296.0,296.0,0.8538833681,0.0023871838,0.782753157,0.7103383418,0.8928429192,0.7700837487,0.9450961708,0.81,4.08,1.0,1.0,296.0,296.0,0.9165683367,0.0071545528,0.9304919447,0.8652688931,0.9393467485,0.8471734488,0.9736146097,0.8,4.0,1.0,1.0,296.0,296.0,0.8754208025,0.0040650227,0.8649307107,0.772078284,0.9050489118,0.8170732146,0.97019158,0.0321455025366432,0.7804485889538146,0.0,0.0,0.0,0.0,0.03184960999148305,0.0024182688985897953,0.07402496777752846,0.07799549753394984,0.024110626969639528,0.03885197520926934,0.015571330774511862,0.0010333333333333345,0.6091000000000003,0.0,0.0,0.0,0.0,0.001014397656609577,5.848024465886703e-06,0.005479695854464126,0.0060832976355683745,0.0005813223328691089,0.0015094759776616794,0.0002424663420892602,3
